Airport.Code,Airport.Name,Airline.Name,Claim.Type,Claim.Site,Item,Claim.Amount,Status,Close.Amount
ABQ,Albuquerque International Sunport Airport,UAL,Property Damage,Checked Baggage,Other,86.67,Approved,86.67
ABQ,Albuquerque International Sunport Airport,Continental Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),19.07,Approved,19.07
ABQ,Albuquerque International Sunport Airport,America West,Property Damage,Checked Baggage,Other,95,Settled,85
ABQ,Albuquerque International Sunport Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,"Clothing - Shoes, belts, accessories, etc.",0,Settled,64.75
ABQ,Albuquerque International Sunport Airport,American Airlines,Passenger Property Loss,Checked Baggage,Other,20.99,Denied,0
ABQ,Albuquerque International Sunport Airport,Alaska Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),64.95,Settled,34.95
ABQ,Albuquerque International Sunport Airport,Southwest Airlines,Property Damage,Checked Baggage,Other,150,Settled,100
ABQ,Albuquerque International Sunport Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,"Clothing - Shoes, belts, accessories, etc.",62.68,Approved,62.68
ABQ,Albuquerque International Sunport Airport,Delta Air Lines,Employee Loss (MPCECA),Checked Baggage,Other,269,Approved,269
ABQ,Albuquerque International Sunport Airport,Southwest Airlines,Passenger Theft,Checked Baggage,Other,60.49,Approved,60.49
ABQ,Albuquerque International Sunport Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Other,49,Denied,0
ABQ,Albuquerque International Sunport Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,"Clothing - Shoes, belts, accessories, etc.",227.79,Approved,227.79
ABQ,Albuquerque International Sunport Airport,American Airlines,Passenger Property Loss,Checked Baggage,Jewelry - Fine,21.06,Approved,21.06
ABQ,Albuquerque International Sunport Airport,American Airlines,Passenger Property Loss,Checked Baggage,Jewelry - Fine,400,Denied,0
ABQ,Albuquerque International Sunport Airport,America West,Property Damage,Checked Baggage,Luggage (all types including footlockers),235,Denied,0
ABQ,Albuquerque International Sunport Airport,American Airlines,Passenger Property Loss,Checked Baggage,Other,24.32,Settled,19.85
ABQ,Albuquerque International Sunport Airport,Northwest Airlines,Passenger Property Loss,Checked Baggage,Jewelry - Fine,14000,Denied,0
ABQ,Albuquerque International Sunport Airport,Southwest Airlines,Property Damage,Checked Baggage,Other,518,Approved,518
ABQ,Albuquerque International Sunport Airport,Southwest Airlines,Passenger Theft,Checked Baggage,Other,35,Approved,35
ABQ,Albuquerque International Sunport Airport,UAL,Passenger Theft,Checked Baggage,Other,28.3,Approved,28.3
ABQ,Albuquerque International Sunport Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Other,165.8,Settled,23.86
ABQ,Albuquerque International Sunport Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Other,135,Settled,34
ABQ,Albuquerque International Sunport Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Other,85,Denied,0
ABQ,Albuquerque International Sunport Airport,America West,Passenger Property Loss,Checked Baggage,"Clothing - Shoes, belts, accessories, etc.",200,Approved,200
ABQ,Albuquerque International Sunport Airport,Continental Airlines,Property Damage,Checked Baggage,Other,50,Approved,50
ABQ,Albuquerque International Sunport Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Other,29,Approved,29
ABQ,Albuquerque International Sunport Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Other,108.4,Denied,0
ABQ,Albuquerque International Sunport Airport,America West,Passenger Property Loss,Checked Baggage,Other,120,Denied,0
ABQ,Albuquerque International Sunport Airport,USAir,Passenger Property Loss,Checked Baggage,Computer - Laptop,1810,Settled,956.94
ABQ,Albuquerque International Sunport Airport,Southwest Airlines,Property Damage,Checked Baggage,Other,1409.98,Denied,0
ABQ,Albuquerque International Sunport Airport,UAL,Property Damage,Checked Baggage,Musical Instruments - Other - Over $250,1664,Denied,0
ABQ,Albuquerque International Sunport Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,"Clothing - Shoes, belts, accessories, etc.",59.73,Approved,59.73
ABQ,Albuquerque International Sunport Airport,Northwest Airlines,Passenger Property Loss,Checked Baggage,Locks,20,Approved,20
ABQ,Albuquerque International Sunport Airport,Continental Airlines,Passenger Property Loss,Checked Baggage,"Clothing - Shoes, belts, accessories, etc.",30,Approved,30
